boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2.75,0.375,0.5,0.0,5.0,2.0,0.0,0.0
3,5.6923076923076925,1.0,0.9230769230769231,0.0,4.6923076923076925,2.3846153846153846,0.0,0.0
4,9.0,2.0,1.6,7.066666666666666,4.666666666666667,12.466666666666667,2.533333333333333,-520.5333333333333
5,11.3,1.95,1.7,36.4,5.65,39.7,11.3,2533.2
6,17.55,2.35,2.45,56.55,5.9,51.45,17.55,4709.2
7,23.7,3.05,3.55,76.35,7.1,97.85,23.7,12539.6
8,32.7,2.65,3.4,109.65,8.1,185.55,32.7,25957.6
9,47.55,3.8,3.05,158.5,115.15,125564.7,47.55,545946.8
10,61.31578947368421,5.0,4.526315789473684,205.26315789473685,31.210526315789473,13391.78947368421,61.31578947368421,2042151.1578947369
