boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2.0,0.42,0.53,0.0,3.32,2.0,0.0,
3,4.0,0.99,0.91,0.0,10.38,2.46,0.0,
4,8.0,1.48,1.49,12.96,18.93,14.46,63067.04,
5,12.0,1.9,2.14,36.04,21.83,208.99,137843.52,
6,18.0,2.27,2.3,55.0,31.9,8424.39,1165778.32,
7,24.0,2.88,3.02,72.27,80.78,86199.19,12669433.76,
8,32.0,3.51,3.55,96.47,1460.56,2511016.14,386379285.76,
