boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
10,50,0,6,169,61,27362,3848872
10,50,0,2,166,11,294,49376
10,50,5,9,169,12,572,93808
10,50,1,2,167,74,34707,4866096
10,50,8,9,169,11,435,73480
10,50,1,1,168,73,32918,4776776
10,50,7,4,165,10,175,29360
10,50,5,3,168,11,640,106488
10,50,9,9,167,75,35026,4956984
10,50,9,4,166,12,310,51168
10,50,7,4,165,11,175,29360
10,50,9,1,169,11,265,46408
10,50,5,7,161,11,282,47640
11,60,8,7,207,13,560,95768
11,60,3,4,204,11,496,81544
11,60,2,6,207,11,516,90504
11,60,2,7,198,12,558,101664
11,60,5,2,200,12,751,127928
11,60,1,7,196,12,564,95712
11,60,1,8,198,11,431,76000
11,60,5,8,203,13,943,162592
11,60,2,8,199,11,366,62880
11,60,1,2,204,12,373,65224
11,60,0,5,201,12,571,104632
11,60,8,5,199,13,922,162376
11,60,4,3,201,11,417,72360
11,60,6,3,199,13,475,84736
11,60,3,9,200,12,389,68384
11,60,8,2,197,11,530,88880
11,60,4,7,197,13,700,120544
11,60,7,4,202,13,451,76560
11,60,9,7,195,12,452,79304
11,60,5,6,207,15,928,160520
12,72,2,2,239,13,734,134536
12,72,6,0,242,13,936,174184
12,72,11,2,239,17,1472,270272
12,72,11,8,237,12,590,110400
12,72,5,1,243,13,1115,207056
12,72,0,2,245,15,1230,229168
12,72,1,11,244,13,787,145120
12,72,9,0,240,14,905,171272
12,72,11,2,239,16,1472,270272
12,72,5,3,234,16,1016,184776
12,72,10,0,243,11,552,104016
12,72,4,0,244,14,875,165168
12,72,4,0,244,13,875,165168
12,72,10,1,235,14,867,158448
12,72,0,6,241,13,795,145120
12,72,6,8,234,13,1044,191376
12,72,5,5,242,15,1614,289544
12,72,1,2,237,12,556,102784
12,72,3,11,240,13,1072,197928
12,72,8,6,236,14,992,177824
13,84,7,3,279,15,1451,274416
13,84,1,5,282,107,30537,5656312
13,84,5,7,281,14,1037,192720
13,84,8,12,275,21,2656,515328
13,84,5,10,280,23,3937,767808
13,84,8,4,280,14,1059,197424
13,84,0,0,276,108,31135,5710072
13,84,7,2,280,22,3566,686800
13,84,10,9,276,18,1997,379992
13,84,5,10,280,23,3937,767808
13,84,7,10,276,15,1372,264728
13,84,10,8,273,17,1908,358040
13,84,8,8,276,22,3717,695424
13,84,4,12,275,18,2107,403120
13,84,4,10,281,15,1252,239808
13,84,3,11,282,16,1720,326664
13,84,4,0,279,16,1525,293568
13,84,1,7,273,109,31417,5944664
13,84,12,12,282,85,25016,4586208
13,84,5,6,279,16,1626,301968
14,98,11,11,319,19,2216,423784
14,98,7,9,331,18,1790,354680
14,98,6,5,324,35,6395,1243080
14,98,3,3,322,18,2002,379432
14,98,8,5,331,26,4523,837576
14,98,3,13,325,20,2034,387944
14,98,3,10,321,21,2196,427992
14,98,5,12,323,25,3969,783144
14,98,9,5,324,25,3721,717824
14,98,9,2,327,25,3723,711160
14,98,9,2,327,25,3723,711160
14,98,3,1,331,25,3935,727344
14,98,11,8,325,54,12729,2376600
14,98,2,11,322,18,1985,377304
14,98,3,8,334,18,1985,375184
14,98,6,12,316,15,1317,248208
14,98,11,13,321,18,1983,389288
14,98,1,0,327,26,4592,878232
14,98,4,4,329,24,3692,709032
14,98,8,8,323,80,17060,3000088
15,112,2,13,377,52,10013,1981064
15,112,13,9,371,26,3699,711776
15,112,0,13,360,40,7167,1410128
15,112,5,13,373,24,2986,595520
15,112,6,2,366,28,4236,842952
15,112,12,6,373,39,7023,1377368
15,112,8,6,365,33,5276,1003280
15,112,13,12,370,19,2096,414096
15,112,6,10,367,27,3893,779112
15,112,4,10,364,19,2254,446736
15,112,11,12,367,24,2999,596304
15,112,10,7,369,26,3553,682432
15,112,4,4,369,27,4243,844072
15,112,1,11,371,26,3046,608800
15,112,11,5,368,41,7394,1454032
15,112,8,13,364,40,7214,1423904
15,112,10,6,375,29,4373,869272
15,112,10,8,374,39,6969,1368072
15,112,8,11,372,30,4652,918608
15,112,7,8,380,29,4879,941904
16,128,6,5,417,78,12685,2447320
16,128,2,13,428,28,3779,771048
16,128,8,14,426,133,28574,5791896
16,128,7,11,424,174,38160,7488472
16,128,11,3,422,29,4408,895872
16,128,15,8,420,28,3498,687752
16,128,3,14,425,39,5598,1148048
16,128,11,15,422,34,5452,1085432
16,128,8,8,418,141,30517,5990360
16,128,1,15,417,29,3968,811424
16,128,9,2,417,92,16139,3155200
16,128,10,10,418,29,4267,861656
16,128,15,7,425,26,3468,696600
16,128,4,15,429,45,6842,1368912
16,128,10,9,422,145,30172,6066688
